transaction_id,timestamp,source_account,destination_account,amount,channel,transaction_type,is_suspicious,pattern_id,pattern_type
TXN000054,2026-06-01 17:01:46,ACC00653,ACC00218,15776.07,NEFT,transfer,0,,normal
TXN000055,2026-06-01 17:02:37,ACC00262,ACC00554,3147.64,UPI,transfer,0,,normal
TXN000056,2026-06-01 17:04:53,ACC00490,ACC00230,5129.18,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000057,2026-06-01 17:07:45,ACC00029,ACC00454,2910.04,UPI,transfer,0,,normal
TXN000058,2026-06-01 17:10:19,ACC00373,ACC00515,9436.18,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000059,2026-06-01 17:14:57,ACC00665,ACC00501,4562.22,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000060,2026-06-01 17:22:11,ACC00320,ACC00077,7149.31,NEFT,transfer,0,,normal
TXN000061,2026-06-01 17:28:43,ACC00212,ACC00391,6120.29,NEFT,transfer,0,,normal
TXN000062,2026-06-01 17:33:28,ACC00488,ACC00179,2179.21,IMPS,transfer,0,,normal
TXN000063,2026-06-01 17:36:04,ACC00441,ACC00109,4134.54,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000064,2026-06-01 17:36:13,ACC00634,ACC00059,49500.0,IMPS,transfer,1,STRUCT011,structuring
TXN000065,2026-06-01 17:44:01,ACC00619,ACC00064,4741.06,IMPS,transfer,0,,normal
TXN000066,2026-06-01 17:49:55,ACC00634,ACC00248,49500.0,IMPS,transfer,1,STRUCT011,structuring
TXN000067,2026-06-01 17:51:12,ACC00489,ACC00393,5665.14,NEFT,transfer,0,,normal
TXN000068,2026-06-01 18:02:46,ACC00670,ACC00324,3610.64,IMPS,transfer,0,,normal
TXN000069,2026-06-01 18:06:44,ACC00052,ACC00292,254.98,UPI,transfer,0,,normal
TXN000070,2026-06-01 18:10:56,ACC00580,ACC00593,3718.39,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000071,2026-06-01 18:12:57,ACC00039,ACC00251,3103.41,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000072,2026-06-01 18:46:26,ACC00214,ACC00550,14466.43,NEFT,transfer,0,,normal
TXN000073,2026-06-01 18:48:15,ACC00698,ACC00141,3532.46,IMPS,transfer,0,,normal
TXN000074,2026-06-01 19:04:34,ACC00339,ACC00241,536.73,UPI,transfer,0,,normal
TXN000075,2026-06-01 19:33:44,ACC00147,ACC00233,7547.9,NEFT,transfer,0,,normal
TXN000076,2026-06-01 19:52:59,ACC00354,ACC00644,8552.1,NEFT,transfer,0,,normal
TXN000077,2026-06-01 19:54:43,ACC00412,ACC00364,568.46,IMPS,transfer,0,,normal
TXN000078,2026-06-01 20:02:04,ACC00566,ACC00056,5396.91,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000079,2026-06-01 20:25:08,ACC00644,ACC00652,7326.43,NEFT,transfer,0,,normal
TXN000080,2026-06-01 20:37:00,ACC00015,ACC00453,6400.87,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000081,2026-06-01 20:41:30,ACC00669,ACC00623,5575.11,NEFT,transfer,0,,normal
TXN000082,2026-06-01 20:47:07,ACC00166,ACC00521,1604.49,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000083,2026-06-01 20:52:23,ACC00581,ACC00158,1207.66,RTGS,transfer,0,,normal
TXN000084,2026-06-01 20:58:57,ACC00401,ACC00589,7113.62,RTGS,transfer,0,,normal
TXN000085,2026-06-01 21:25:45,ACC00002,ACC00542,4730.89,NEFT,transfer,0,,normal
TXN000086,2026-06-01 21:34:26,ACC00634,ACC00347,47417.44,IMPS,transfer,1,STRUCT011,structuring
TXN000087,2026-06-01 21:44:45,ACC00646,ACC00308,857.8,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000088,2026-06-01 21:59:53,ACC00445,ACC00281,2417.15,IMPS,transfer,0,,normal
TXN000089,2026-06-01 22:02:39,ACC00486,ACC00598,2668.71,RTGS,transfer,0,,normal
TXN000090,2026-06-01 22:05:01,ACC00176,ACC00551,700.62,IMPS,transfer,0,,normal
TXN000091,2026-06-01 22:21:13,ACC00138,ACC00511,5791.03,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000092,2026-06-01 22:31:15,ACC00436,ACC00593,7257.2,IMPS,transfer,0,,normal
TXN000093,2026-06-01 22:34:58,ACC00131,ACC00266,1319.82,IMPS,transfer,0,,normal
TXN000094,2026-06-01 22:41:07,ACC00555,ACC00632,2099.66,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000095,2026-06-01 22:48:11,ACC00577,ACC00388,4229.52,NEFT,transfer,0,,normal
TXN000096,2026-06-01 23:04:47,ACC00131,ACC00340,13988.83,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000097,2026-06-01 23:24:48,ACC00406,ACC00497,2219.84,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000098,2026-06-01 23:25:44,ACC00209,ACC00594,3536.06,RTGS,transfer,0,,normal
TXN000099,2026-06-01 23:40:18,ACC00068,ACC00671,4949.76,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000100,2026-06-01 23:45:10,ACC00270,ACC00226,7957.88,UPI,transfer,0,,normal
TXN000101,2026-06-01 23:50:02,ACC00595,ACC00339,787.21,IMPS,transfer,0,,normal
TXN000102,2026-06-01 23:56:03,ACC00213,ACC00049,5644.84,RTGS,transfer,0,,normal
TXN000103,2026-06-02 00:34:24,ACC00573,ACC00333,2437.95,RTGS,transfer,0,,normal
TXN000104,2026-06-02 01:00:44,ACC00647,ACC00658,1716.22,NEFT,transfer,0,,normal
TXN000105,2026-06-02 01:08:34,ACC00114,ACC00228,1763.45,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000106,2026-06-02 01:16:37,ACC00663,ACC00421,6514.86,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000107,2026-06-02 01:38:37,ACC00620,ACC00214,2551.01,IMPS,transfer,0,,normal
TXN000108,2026-06-02 01:43:25,ACC00097,ACC00603,3872.03,UPI,transfer,0,,normal
TXN000109,2026-06-02 01:45:19,ACC00678,ACC00413,2446.31,NEFT,transfer,0,,normal
TXN000110,2026-06-02 01:51:37,ACC00353,ACC00466,1633.51,IMPS,transfer,0,,normal
TXN000111,2026-06-02 02:16:08,ACC00370,ACC00498,14300.97,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000112,2026-06-02 02:18:27,ACC00690,ACC00248,1568.64,UPI,transfer,0,,normal
TXN000113,2026-06-02 02:28:18,ACC00554,ACC00232,4629.19,RTGS,transfer,0,,normal
TXN000114,2026-06-02 02:38:28,ACC00664,ACC00289,9624.34,IMPS,transfer,0,,normal
TXN000115,2026-06-02 02:47:27,ACC00150,ACC00652,2741.42,IMPS,transfer,0,,normal
TXN000116,2026-06-02 02:48:53,ACC00535,ACC00119,8034.3,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000117,2026-06-02 02:55:21,ACC00475,ACC00035,2592.1,RTGS,transfer,0,,normal
TXN000118,2026-06-02 03:10:42,ACC00551,ACC00200,2027.19,UPI,transfer,0,,normal
TXN000119,2026-06-02 03:13:44,ACC00292,ACC00293,1285.75,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000120,2026-06-02 03:13:47,ACC00541,ACC00435,1482.84,RTGS,transfer,0,,normal
TXN000121,2026-06-02 03:14:16,ACC00412,ACC00013,760.91,RTGS,transfer,0,,normal
TXN000122,2026-06-02 03:23:15,ACC00547,ACC00663,25171.49,NEFT,transfer,0,,normal
TXN000123,2026-06-02 03:23:24,ACC00634,ACC00148,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000124,2026-06-02 03:32:09,ACC00634,ACC00154,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000125,2026-06-02 03:49:15,ACC00503,ACC00419,4081.18,UPI,transfer,0,,normal
TXN000126,2026-06-02 03:53:40,ACC00618,ACC00249,3517.51,RTGS,transfer,0,,normal
TXN000127,2026-06-02 03:58:38,ACC00496,ACC00088,8265.54,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000128,2026-06-02 03:58:56,ACC00634,ACC00043,49210.35,UPI,transfer,1,STRUCT011,structuring
TXN000129,2026-06-02 03:59:36,ACC00634,ACC00692,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000130,2026-06-02 04:05:28,ACC00048,ACC00044,27684.68,NEFT,transfer,0,,normal
TXN000131,2026-06-02 04:16:59,ACC00003,ACC00064,1509.48,IMPS,transfer,0,,normal
TXN000132,2026-06-02 04:17:39,ACC00494,ACC00619,6626.79,RTGS,transfer,0,,normal
TXN000133,2026-06-02 04:25:47,ACC00410,ACC00602,6010.04,IMPS,transfer,0,,normal
TXN000134,2026-06-02 04:34:04,ACC00386,ACC00162,26669.56,UPI,transfer,0,,normal
TXN000135,2026-06-02 04:38:43,ACC00083,ACC00382,643.31,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000136,2026-06-02 04:40:00,ACC00416,ACC00110,1272.73,RTGS,transfer,0,,normal
TXN000137,2026-06-02 04:41:50,ACC00324,ACC00135,4433.06,RTGS,transfer,0,,normal
TXN000138,2026-06-02 04:52:20,ACC00592,ACC00631,9179.53,IMPS,transfer,0,,normal
TXN000139,2026-06-02 04:52:23,ACC00510,ACC00670,2563.35,UPI,transfer,0,,normal
TXN000140,2026-06-02 05:35:03,ACC00461,ACC00483,2568.48,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000141,2026-06-02 05:42:25,ACC00625,ACC00229,1834.3,NEFT,transfer,0,,normal
TXN000142,2026-06-02 05:45:48,ACC00676,ACC00500,4750.77,RTGS,transfer,0,,normal
TXN000143,2026-06-02 05:46:53,ACC00679,ACC00138,3167.87,NEFT,transfer,0,,normal
TXN000144,2026-06-02 06:06:03,ACC00546,ACC00384,4590.0,RTGS,transfer,0,,normal
TXN000145,2026-06-02 06:06:29,ACC00405,ACC00120,8641.01,RTGS,transfer,0,,normal
TXN000146,2026-06-02 06:09:33,ACC00402,ACC00164,3562.23,UPI,transfer,0,,normal
TXN000147,2026-06-02 06:25:57,ACC00136,ACC00112,4108.72,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000148,2026-06-02 06:28:23,ACC00529,ACC00549,3468.53,IMPS,transfer,0,,normal
TXN000149,2026-06-02 06:31:14,ACC00634,ACC00593,48007.43,IMPS,transfer,1,STRUCT011,structuring
TXN000150,2026-06-02 06:31:44,ACC00017,ACC00432,908.21,IMPS,transfer,0,,normal
TXN000151,2026-06-02 06:33:47,ACC00634,ACC00500,49500.0,IMPS,transfer,1,STRUCT011,structuring
TXN000152,2026-06-02 06:41:43,ACC00600,ACC00544,3922.54,IMPS,transfer,0,,normal
TXN000153,2026-06-02 06:43:11,ACC00139,ACC00310,3396.5,IMPS,transfer,0,,normal
TXN000154,2026-06-02 06:46:54,ACC00536,ACC00110,28381.33,UPI,transfer,0,,normal
TXN000155,2026-06-02 06:47:49,ACC00227,ACC00150,785.65,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000156,2026-06-02 06:56:31,ACC00027,ACC00448,5691.68,IMPS,transfer,0,,normal
TXN000157,2026-06-02 07:03:31,ACC00128,ACC00571,762.02,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000158,2026-06-02 07:04:28,ACC00366,ACC00086,3084.88,RTGS,transfer,0,,normal
TXN000159,2026-06-02 07:19:42,ACC00621,ACC00215,1873.85,RTGS,transfer,0,,normal
TXN000160,2026-06-02 07:22:34,ACC00637,ACC00329,1440.9,UPI,transfer,0,,normal
TXN000161,2026-06-02 07:23:29,ACC00570,ACC00169,740.89,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000162,2026-06-02 07:32:25,ACC00431,ACC00290,2808.26,UPI,transfer,0,,normal
TXN000163,2026-06-02 07:34:30,ACC00384,ACC00231,3897.56,RTGS,transfer,0,,normal
TXN000164,2026-06-02 07:38:18,ACC00251,ACC00455,1540.01,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000165,2026-06-02 07:54:24,ACC00277,ACC00062,1082.08,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000166,2026-06-02 07:55:18,ACC00599,ACC00105,3240.34,NEFT,transfer,0,,normal
TXN000167,2026-06-02 07:59:11,ACC00497,ACC00483,3843.26,IMPS,transfer,0,,normal
TXN000168,2026-06-02 08:07:39,ACC00450,ACC00198,3406.44,IMPS,transfer,0,,normal
TXN000169,2026-06-02 08:14:23,ACC00325,ACC00047,4935.26,IMPS,transfer,0,,normal
TXN000170,2026-06-02 08:16:08,ACC00634,ACC00437,46111.42,IMPS,transfer,1,STRUCT011,structuring
TXN000171,2026-06-02 08:26:55,ACC00624,ACC00694,849.41,IMPS,transfer,0,,normal
TXN000172,2026-06-02 08:27:05,ACC00256,ACC00117,12040.61,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000173,2026-06-02 08:46:45,ACC00633,ACC00106,13452.31,UPI,transfer,0,,normal
TXN000174,2026-06-02 08:53:08,ACC00121,ACC00404,6278.98,RTGS,transfer,0,,normal
TXN000175,2026-06-02 09:01:28,ACC00686,ACC00136,16778.63,UPI,transfer,0,,normal
TXN000176,2026-06-02 09:13:09,ACC00357,ACC00680,3875.4,RTGS,transfer,0,,normal
TXN000177,2026-06-02 09:23:43,ACC00435,ACC00030,9520.46,UPI,transfer,0,,normal
TXN000178,2026-06-02 09:25:31,ACC00211,ACC00213,2840.52,UPI,transfer,0,,normal
TXN000179,2026-06-02 09:25:41,ACC00619,ACC00257,5958.29,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000180,2026-06-02 09:28:57,ACC00206,ACC00531,9463.84,UPI,transfer,0,,normal
TXN000181,2026-06-02 09:35:06,ACC00634,ACC00322,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000182,2026-06-02 09:41:15,ACC00217,ACC00612,14003.17,IMPS,transfer,0,,normal
TXN000183,2026-06-02 09:44:49,ACC00634,ACC00646,49126.42,UPI,transfer,1,STRUCT011,structuring
TXN000184,2026-06-02 09:44:55,ACC00614,ACC00337,1958.63,UPI,transfer,0,,normal
TXN000185,2026-06-02 10:06:20,ACC00390,ACC00624,3283.1,NEFT,transfer,0,,normal
TXN000186,2026-06-02 10:10:46,ACC00180,ACC00003,3817.2,RTGS,transfer,0,,normal
TXN000187,2026-06-02 10:22:29,ACC00063,ACC00541,5121.68,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000188,2026-06-02 10:28:04,ACC00014,ACC00660,1582.4,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000189,2026-06-02 10:46:42,ACC00346,ACC00549,15888.87,NEFT,transfer,0,,normal
TXN000190,2026-06-02 10:57:02,ACC00260,ACC00509,2753.56,UPI,transfer,0,,normal
TXN000191,2026-06-02 11:01:55,ACC00634,ACC00415,49500.0,IMPS,transfer,1,STRUCT011,structuring
TXN000192,2026-06-02 11:04:59,ACC00417,ACC00024,2676.75,IMPS,transfer,0,,normal
TXN000193,2026-06-02 11:18:15,ACC00355,ACC00579,10373.8,RTGS,transfer,0,,normal
TXN000194,2026-06-02 11:23:46,ACC00269,ACC00491,4169.46,NEFT,transfer,0,,normal
TXN000195,2026-06-02 11:30:45,ACC00116,ACC00246,959.66,NEFT,transfer,0,,normal
TXN000196,2026-06-02 11:37:07,ACC00227,ACC00060,1711.88,NEFT,transfer,0,,normal
TXN000197,2026-06-02 11:48:51,ACC00123,ACC00436,1256.66,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000198,2026-06-02 11:50:52,ACC00634,ACC00143,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000199,2026-06-02 11:59:03,ACC00273,ACC00017,2409.11,IMPS,transfer,0,,normal
TXN000200,2026-06-02 12:04:50,ACC00583,ACC00040,5673.69,NEFT,transfer,0,,normal
TXN000201,2026-06-02 12:16:59,ACC00198,ACC00532,4459.28,UPI,transfer,0,,normal
TXN000202,2026-06-02 12:39:10,ACC00361,ACC00408,7749.74,NEFT,transfer,0,,normal
TXN000203,2026-06-02 12:46:04,ACC00420,ACC00271,1964.3,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000204,2026-06-02 13:16:57,ACC00585,ACC00598,9429.81,IMPS,transfer,0,,normal
TXN000205,2026-06-02 13:28:45,ACC00307,ACC00383,6784.91,UPI,transfer,0,,normal
TXN000206,2026-06-02 13:33:37,ACC00391,ACC00150,9433.49,NEFT,transfer,0,,normal
TXN000207,2026-06-02 13:42:20,ACC00373,ACC00083,1668.71,NEFT,transfer,0,,normal
TXN000208,2026-06-02 13:44:40,ACC00332,ACC00061,2013.39,IMPS,transfer,0,,normal
TXN000209,2026-06-02 13:44:54,ACC00634,ACC00432,49500.0,IMPS,transfer,1,STRUCT011,structuring
TXN000210,2026-06-02 13:55:28,ACC00385,ACC00564,1606.97,NEFT,transfer,0,,normal
TXN000211,2026-06-02 13:56:31,ACC00468,ACC00281,4951.74,IMPS,transfer,0,,normal
TXN000212,2026-06-02 14:00:08,ACC00562,ACC00056,3902.77,UPI,transfer,0,,normal
TXN000213,2026-06-02 14:03:21,ACC00429,ACC00461,4760.41,IMPS,transfer,0,,normal
TXN000214,2026-06-02 14:07:52,ACC00414,ACC00470,13920.58,RTGS,transfer,0,,normal
TXN000215,2026-06-02 14:43:44,ACC00326,ACC00666,1662.94,NEFT,transfer,0,,normal
TXN000216,2026-06-02 14:50:59,ACC00322,ACC00697,5391.68,NEFT,transfer,0,,normal
TXN000217,2026-06-02 14:58:09,ACC00094,ACC00380,550.36,RTGS,transfer,0,,normal
TXN000218,2026-06-02 14:58:48,ACC00467,ACC00485,567.6,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000219,2026-06-02 15:09:46,ACC00195,ACC00144,1493.74,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000220,2026-06-02 15:20:58,ACC00611,ACC00459,1851.57,NEFT,transfer,0,,normal
TXN000221,2026-06-02 15:30:58,ACC00466,ACC00387,4805.24,IMPS,transfer,0,,normal
TXN000222,2026-06-02 15:33:16,ACC00289,ACC00106,2162.27,IMPS,transfer,0,,normal
TXN000223,2026-06-02 15:58:11,ACC00620,ACC00533,2673.11,RTGS,transfer,0,,normal
TXN000224,2026-06-02 16:02:13,ACC00664,ACC00693,2403.93,NEFT,transfer,0,,normal
TXN000225,2026-06-02 16:08:06,ACC00631,ACC00096,7729.78,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000226,2026-06-02 16:53:55,ACC00624,ACC00699,4339.26,NEFT,transfer,0,,normal
TXN000227,2026-06-02 17:29:18,ACC00435,ACC00577,6741.5,IMPS,transfer,0,,normal
TXN000228,2026-06-02 17:36:51,ACC00676,ACC00407,7332.1,NEFT,transfer,0,,normal
TXN000229,2026-06-02 17:37:42,ACC00172,ACC00242,5249.88,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000230,2026-06-02 17:40:59,ACC00243,ACC00506,3720.13,NEFT,transfer,0,,normal
TXN000231,2026-06-02 17:57:47,ACC00376,ACC00646,4297.88,IMPS,transfer,0,,normal
TXN000232,2026-06-02 18:28:30,ACC00188,ACC00263,49500.0,UPI,transfer,1,STRUCT006,structuring
TXN000233,2026-06-02 18:28:57,ACC00675,ACC00320,12567.22,IMPS,transfer,0,,normal
TXN000234,2026-06-02 18:37:04,ACC00324,ACC00674,2031.19,RTGS,transfer,0,,normal
TXN000235,2026-06-02 18:46:06,ACC00186,ACC00104,1390.85,UPI,transfer,0,,normal
TXN000236,2026-06-02 19:05:21,ACC00673,ACC00192,5418.49,NEFT,transfer,0,,normal
TXN000237,2026-06-02 19:06:16,ACC00454,ACC00471,862.43,NEFT,transfer,0,,normal
TXN000238,2026-06-02 19:13:33,ACC00239,ACC00074,7365.68,UPI,transfer,0,,normal
TXN000239,2026-06-02 19:28:22,ACC00305,ACC00163,5762.41,IMPS,transfer,0,,normal
TXN000240,2026-06-02 19:38:09,ACC00188,ACC00118,49500.0,IMPS,transfer,1,STRUCT006,structuring
TXN000241,2026-06-02 20:23:52,ACC00474,ACC00590,2290.89,RTGS,transfer,0,,normal
TXN000242,2026-06-02 20:55:59,ACC00586,ACC00392,10531.39,RTGS,transfer,0,,normal
TXN000243,2026-06-02 20:59:22,ACC00589,ACC00301,17507.34,IMPS,transfer,0,,normal
TXN000244,2026-06-02 21:04:57,ACC00286,ACC00466,1242.56,RTGS,transfer,0,,normal
TXN000245,2026-06-02 21:07:49,ACC00028,ACC00197,15223.12,RTGS,transfer,0,,normal
TXN000246,2026-06-02 21:35:09,ACC00182,ACC00412,6876.43,RTGS,transfer,0,,normal
TXN000247,2026-06-02 21:38:38,ACC00547,ACC00659,954.25,UPI,transfer,0,,normal
TXN000248,2026-06-02 21:59:53,ACC00329,ACC00405,2515.12,NEFT,transfer,0,,normal
TXN000249,2026-06-02 22:10:19,ACC00188,ACC00587,49500.0,IMPS,transfer,1,STRUCT006,structuring
TXN000250,2026-06-02 22:12:10,ACC00273,ACC00202,546.65,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000251,2026-06-02 22:17:58,ACC00497,ACC00125,2745.79,IMPS,transfer,0,,normal
TXN000252,2026-06-02 22:19:28,ACC00193,ACC00414,6249.09,RTGS,transfer,0,,normal
TXN000253,2026-06-02 22:26:21,ACC00398,ACC00386,7055.9,RTGS,transfer,0,,normal
TXN000254,2026-06-02 22:27:05,ACC00320,ACC00158,1398.26,RTGS,transfer,0,,normal
TXN000255,2026-06-02 22:31:21,ACC00699,ACC00564,539.89,IMPS,transfer,0,,normal
TXN000256,2026-06-02 22:55:35,ACC00691,ACC00479,967.94,IMPS,transfer,0,,normal
TXN000257,2026-06-02 22:58:57,ACC00433,ACC00411,9452.94,NEFT,transfer,0,,normal
TXN000258,2026-06-02 23:03:40,ACC00250,ACC00437,3835.59,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000259,2026-06-02 23:04:22,ACC00624,ACC00485,7314.69,IMPS,transfer,0,,normal
