account_id,account_type,opened_days_ago,region,baseline_monthly_txn_count,baseline_avg_amount,dormancy_flag,true_label,all_roles
ACC00073,individual,996,Central,14.5,9009.44,0,normal,normal
ACC00074,individual,67,South,9.6,3110.91,0,normal,normal
ACC00075,individual,386,Central,5.7,9344.13,0,normal,normal
ACC00076,shell,411,South,22.6,10124.62,0,normal,normal
ACC00077,individual,95,South,18.3,2994.8,0,structuring_source,structuring_source
ACC00078,individual,47,West,14.2,8452.72,0,normal,normal
ACC00079,individual,40,West,1.0,2399.29,0,layering_node,layering_node;mule
ACC00080,individual,180,East,20.2,1806.06,0,normal,normal
ACC00081,individual,23,Central,19.2,1798.84,0,normal,normal
ACC00082,individual,592,South,7.1,6791.81,0,normal,normal
ACC00083,individual,318,East,12.3,3752.89,0,layering_node,layering_node
ACC00084,business,267,North,19.9,2066.33,0,normal,normal
ACC00085,individual,246,South,11.2,7419.17,0,normal,normal
ACC00086,shell,717,North,13.4,3178.33,0,normal,normal
ACC00087,individual,125,East,9.1,8908.15,0,normal,normal
ACC00088,individual,367,West,16.5,6094.3,0,normal,normal
ACC00089,business,498,East,7.9,3320.51,0,normal,normal
ACC00090,business,503,North,11.9,5335.45,0,mule,mule
ACC00091,individual,459,South,14.7,4266.14,0,normal,normal
ACC00092,business,178,Central,16.1,8685.9,0,mule,mule
ACC00093,individual,708,East,18.5,4987.56,0,normal,normal
ACC00094,individual,687,South,13.6,4486.82,0,normal,normal
ACC00095,shell,265,West,7.9,21261.88,0,normal,normal
ACC00096,individual,129,West,17.8,8554.08,0,normal,normal
ACC00097,business,477,West,11.9,2622.6,0,normal,normal
ACC00098,individual,249,South,16.9,4434.01,0,normal,normal
ACC00099,individual,47,East,14.1,3312.28,0,mule,mule
ACC00100,individual,41,South,13.2,3446.59,0,mule,mule
ACC00101,individual,527,South,9.6,5781.6,0,normal,normal
ACC00102,individual,1304,Central,4.8,1834.96,0,normal,normal
ACC00103,business,892,Central,8.4,4232.66,0,normal,normal
ACC00104,business,255,East,16.3,4394.21,1,mule,mule
ACC00105,individual,213,Central,11.9,4015.59,0,normal,normal
ACC00106,individual,47,West,13.6,2754.35,0,mule,mule
ACC00107,business,272,Central,11.5,6510.67,0,normal,normal
ACC00108,individual,618,West,13.1,4958.28,0,normal,normal
ACC00109,individual,252,East,12.1,6964.62,0,mule,mule
ACC00110,individual,366,South,22.8,2872.27,0,normal,normal
ACC00111,individual,704,South,22.9,2791.1,0,normal,normal
ACC00112,individual,72,Central,1.4,3401.5,0,normal,normal
ACC00113,individual,34,West,13.7,18275.55,0,normal,normal
ACC00114,individual,514,North,7.5,6935.05,0,mule,mule
ACC00115,business,528,North,5.4,17712.42,0,mule,mule
ACC00116,business,613,North,17.9,3538.92,0,mule,mule
ACC00117,shell,58,South,3.4,12679.11,0,normal,normal
ACC00118,shell,563,South,11.4,11689.79,0,mule,mule
ACC00119,individual,105,West,12.0,5079.09,0,normal,normal
ACC00120,business,878,Central,9.7,7600.69,0,normal,normal
ACC00121,individual,51,North,12.6,7045.24,0,normal,normal
ACC00122,individual,344,West,4.3,12020.56,0,mule,mule
ACC00123,individual,344,West,19.8,5329.28,0,mule,mule
ACC00124,individual,583,Central,22.3,16793.36,0,layering_node,layering_node
ACC00125,business,164,West,15.2,12810.78,0,normal,normal
ACC00126,individual,81,Central,17.3,1434.95,0,mule,mule
ACC00127,individual,182,East,10.7,8121.58,0,mule,mule
ACC00128,individual,469,Central,20.1,1870.44,0,layering_node,layering_node;mule
ACC00129,business,905,North,3.5,4727.33,0,normal,normal
ACC00130,individual,1184,North,1.7,4617.53,0,normal,normal
ACC00131,individual,92,Central,13.8,2545.5,0,normal,normal
ACC00132,individual,137,East,11.7,9591.18,0,normal,normal
ACC00133,individual,66,East,9.3,2821.4,0,mule,mule
ACC00134,individual,37,North,11.5,2381.13,0,mule,mule
ACC00135,individual,145,East,21.8,5037.6,0,normal,normal
ACC00136,individual,491,West,8.5,5708.92,0,normal,normal
ACC00137,business,771,South,11.4,4210.44,0,normal,normal
ACC00138,business,423,West,9.3,3284.36,0,layering_node,layering_node
ACC00139,individual,208,North,4.4,12795.03,0,normal,normal
ACC00140,individual,422,East,14.9,6111.18,0,mule,mule
ACC00141,individual,237,Central,11.4,2517.75,0,layering_node,layering_node
ACC00142,individual,93,South,8.2,1816.06,0,normal,normal
ACC00143,individual,126,Central,8.8,2305.19,0,mule,mule
ACC00144,individual,673,North,20.4,9110.18,0,normal,normal
ACC00145,business,217,East,12.4,2689.47,0,normal,normal
ACC00146,individual,420,Central,6.8,4301.69,0,normal,normal
ACC00147,individual,145,Central,16.6,18705.85,0,normal,normal
ACC00148,individual,1301,South,5.0,7288.69,0,mule,mule
ACC00149,individual,59,South,8.7,3494.73,0,layering_node,layering_node
ACC00150,individual,110,East,12.2,2747.19,0,mule,mule
ACC00151,individual,1221,South,10.8,2603.74,0,mule,mule
ACC00152,shell,611,Central,9.1,8339.63,0,mule,mule
ACC00153,individual,341,Central,12.5,8316.29,0,mule,mule
ACC00154,individual,108,North,8.7,7327.72,0,mule,mule
ACC00155,individual,176,Central,3.9,5083.01,0,normal,normal
ACC00156,individual,292,East,15.2,1536.0,0,normal,normal
ACC00157,individual,206,West,8.7,5080.57,0,normal,normal
ACC00158,individual,53,North,17.0,3281.89,0,normal,normal
ACC00159,individual,353,North,14.6,13481.83,0,mule,mule
ACC00160,individual,169,East,14.9,4263.6,0,normal,normal
ACC00161,business,1015,East,13.9,3220.24,0,structuring_source,structuring_source
ACC00162,business,69,South,12.4,4407.34,0,normal,normal
ACC00163,individual,563,North,13.7,3683.75,0,mule,mule
ACC00164,individual,63,South,14.0,3660.34,0,normal,normal
ACC00165,individual,232,Central,16.4,3911.92,0,normal,normal
ACC00166,individual,518,North,1.8,2426.83,0,normal,normal
ACC00167,individual,117,North,12.1,15890.97,1,mule,mule
ACC00168,individual,699,West,16.1,1045.45,0,normal,normal
ACC00169,business,303,North,4.6,10944.89,0,normal,normal
ACC00170,individual,484,Central,15.2,24088.38,0,mule,mule
ACC00171,business,476,South,9.7,2711.1,0,mule,mule
ACC00172,individual,418,South,12.4,3517.97,0,normal,normal
ACC00173,business,638,West,17.2,3439.18,0,layering_node,layering_node
ACC00174,individual,572,Central,10.7,2477.15,0,normal,normal
ACC00175,business,58,South,15.8,2577.27,0,layering_node,layering_node;mule
ACC00176,business,317,East,14.1,18283.55,0,normal,normal
ACC00177,individual,137,Central,3.1,14005.86,0,normal,normal
ACC00178,individual,892,Central,13.4,2235.36,0,normal,normal
ACC00179,individual,293,West,12.5,8168.47,0,normal,normal
ACC00180,individual,777,South,8.0,6836.48,0,normal,normal
ACC00181,individual,289,Central,20.0,3436.29,0,normal,normal
ACC00182,business,789,South,7.1,4500.52,0,normal,normal
ACC00183,shell,557,East,12.3,10571.68,0,normal,normal
ACC00184,individual,162,West,11.2,3645.26,0,normal,normal
ACC00185,business,11,East,6.9,1543.18,0,normal,normal
ACC00186,individual,767,West,5.6,1985.14,0,normal,normal
ACC00187,business,190,Central,10.7,1716.08,0,normal,normal
ACC00188,individual,68,West,1.0,4731.48,0,structuring_source,layering_node;structuring_source
ACC00189,business,145,North,21.2,10813.99,0,normal,normal
ACC00190,individual,336,South,10.7,2265.23,0,mule,mule
ACC00191,individual,1740,South,24.9,5122.78,0,mule,mule
ACC00192,individual,425,North,13.0,4442.39,0,layering_node,layering_node;mule
ACC00193,individual,73,East,11.8,3359.69,0,mule,mule
ACC00194,individual,30,North,10.7,14084.01,1,mule,mule
ACC00195,individual,184,Central,18.2,1151.28,0,layering_node,layering_node
ACC00196,individual,70,Central,5.0,2851.29,0,normal,normal
ACC00197,individual,167,South,16.7,11969.16,0,layering_node,layering_node
ACC00198,individual,85,Central,15.6,2229.79,0,mule,mule
ACC00199,individual,42,South,9.4,6922.71,0,mule,mule
ACC00200,individual,91,North,10.8,3780.55,0,mule,mule
ACC00201,business,590,North,10.2,11064.87,1,mule,mule
ACC00202,individual,78,North,15.0,3957.3,0,mule,mule
ACC00203,individual,36,South,13.6,2047.18,0,mule,mule
ACC00204,individual,679,North,9.4,10242.56,0,structuring_source,structuring_source
ACC00205,individual,153,North,4.2,7511.62,0,normal,normal
ACC00206,individual,167,East,1.6,16115.22,0,mule,mule
ACC00207,individual,899,North,9.3,6498.95,0,mule,mule
ACC00208,business,210,Central,12.6,5460.04,0,mule,mule
ACC00209,individual,16,South,13.5,1484.57,0,mule,mule
ACC00210,individual,99,East,12.9,4320.87,0,mule,mule
ACC00211,shell,233,West,9.3,2850.32,0,mule,mule
ACC00212,individual,747,South,13.0,2477.83,0,mule,mule
ACC00213,individual,252,Central,17.1,6841.88,0,normal,normal
ACC00214,individual,13,South,13.3,9777.94,0,normal,normal
ACC00215,individual,338,Central,2.8,2006.8,0,normal,normal
ACC00216,individual,24,Central,14.6,2957.14,0,mule,mule
ACC00217,individual,287,West,8.9,1835.99,0,normal,normal
ACC00218,individual,141,South,7.1,10275.82,0,mule,mule
ACC00219,individual,203,West,14.5,5593.64,0,mule,mule
ACC00220,business,82,West,9.1,5352.97,0,normal,normal
ACC00221,individual,282,South,17.7,3004.23,0,normal,normal
ACC00222,individual,33,North,11.8,16976.08,0,mule,mule
ACC00223,individual,181,North,15.5,3315.2,0,normal,normal
ACC00224,business,365,West,15.1,1637.36,0,mule,mule
ACC00225,individual,38,East,11.6,7589.12,0,mule,mule
ACC00226,individual,244,West,13.9,7535.72,0,normal,normal
ACC00227,business,332,West,16.2,6777.92,0,mule,mule
ACC00228,individual,211,West,14.1,5683.83,0,normal,normal
ACC00229,individual,261,North,6.6,10272.31,0,normal,normal
ACC00230,business,1072,North,11.8,7919.24,0,mule,mule
ACC00231,business,568,North,16.7,3424.7,0,mule,mule
ACC00232,individual,282,West,9.8,3958.34,0,normal,normal
ACC00233,individual,367,East,18.3,2627.47,0,normal,normal
ACC00234,individual,123,North,19.2,5639.71,0,normal,normal
ACC00235,individual,304,South,13.3,9161.28,0,normal,normal
ACC00236,individual,17,South,12.4,10361.33,0,mule,mule
ACC00237,business,491,South,9.4,13181.15,0,normal,normal
ACC00238,individual,306,Central,9.8,13593.8,0,normal,normal
ACC00239,individual,411,West,9.9,4034.96,0,normal,normal
ACC00240,individual,111,South,7.0,2871.36,0,normal,normal
ACC00241,individual,15,West,11.8,5790.36,0,normal,normal
ACC00242,individual,351,South,16.9,4231.06,0,layering_node,layering_node;mule
ACC00243,business,198,East,6.4,6423.3,0,normal,normal
ACC00244,shell,89,West,12.8,6937.63,0,normal,normal
ACC00245,individual,225,South,8.8,3389.04,0,mule,mule
ACC00246,individual,71,North,8.8,11297.22,0,normal,normal
ACC00247,individual,1053,West,19.1,3296.04,0,normal,normal
ACC00248,individual,60,Central,9.2,7654.53,0,mule,mule
ACC00249,individual,240,North,19.7,17276.71,0,normal,normal
ACC00250,individual,639,North,8.9,3746.62,0,normal,normal
ACC00251,business,944,Central,13.4,6211.26,0,mule,mule
ACC00252,individual,250,North,11.1,2810.71,0,mule,mule
ACC00253,individual,100,North,11.8,17260.75,0,normal,normal
ACC00254,individual,84,South,9.4,5748.25,0,layering_node,layering_node;mule
ACC00255,business,215,South,24.6,3389.34,0,normal,normal
ACC00256,business,138,West,15.4,17902.49,0,normal,normal
ACC00257,individual,642,West,15.0,10679.62,0,layering_node,layering_node;mule
ACC00258,business,615,West,16.1,7009.99,0,structuring_source,structuring_source
ACC00259,individual,351,South,18.9,7739.54,0,normal,normal
ACC00260,individual,648,West,11.2,5446.34,0,normal,normal
ACC00261,individual,418,North,13.8,3731.86,0,normal,normal
ACC00262,business,222,South,13.0,5077.15,0,normal,normal
ACC00263,individual,100,West,15.2,22343.22,0,mule,mule
ACC00264,business,43,North,13.2,14827.18,0,mule,mule
ACC00265,shell,135,West,15.0,5600.59,0,normal,normal
ACC00266,individual,840,East,9.8,5629.99,0,normal,normal
ACC00267,individual,379,West,12.7,3010.66,0,mule,mule
ACC00268,individual,300,East,9.2,6399.97,0,structuring_source,structuring_source
ACC00269,business,17,West,19.8,4693.69,0,normal,normal
ACC00270,individual,187,Central,4.8,1054.51,0,mule,mule
ACC00271,individual,485,West,6.9,8069.52,0,normal,normal
ACC00272,individual,352,South,5.6,9051.81,0,normal,normal
ACC00273,shell,59,South,15.3,4585.14,0,mule,mule
ACC00274,individual,315,East,4.4,3028.02,0,normal,normal
ACC00275,shell,167,South,10.8,6288.25,0,mule,mule
ACC00276,individual,19,North,5.7,13502.57,0,normal,normal
ACC00277,business,202,Central,13.7,6766.42,0,normal,normal
ACC00278,business,568,Central,15.2,12461.59,0,mule,mule
ACC00279,individual,19,North,13.0,8073.18,0,normal,normal
ACC00280,business,207,East,8.6,17338.04,0,mule,mule
ACC00281,individual,212,North,12.6,3051.12,0,normal,normal
ACC00282,individual,489,North,9.8,1309.4,0,mule,mule
ACC00283,individual,32,Central,9.7,900.8,0,normal,normal
ACC00284,individual,113,West,15.9,6619.8,0,layering_node,layering_node;mule
ACC00285,business,22,Central,7.2,4753.34,0,mule,mule
ACC00286,individual,1305,Central,12.0,2184.51,0,mule,mule
ACC00287,individual,373,South,10.9,5008.14,0,mule,mule
ACC00288,individual,228,North,10.8,3049.13,0,mule,mule
ACC00289,individual,34,Central,7.0,4036.89,0,normal,normal
ACC00290,individual,360,North,9.1,7337.9,0,structuring_source,mule;structuring_source
ACC00291,individual,43,South,19.0,9388.53,0,layering_node,layering_node;mule
ACC00292,individual,835,North,12.3,3124.86,0,layering_node,layering_node
ACC00293,individual,624,Central,16.5,7666.54,0,normal,normal
ACC00294,individual,515,North,18.6,5643.84,0,normal,normal
ACC00295,individual,319,South,20.7,5645.07,0,normal,normal
ACC00296,individual,28,West,8.7,3502.67,0,normal,normal
ACC00297,business,84,North,14.6,3289.23,0,layering_node,layering_node;mule
ACC00298,individual,216,Central,20.6,6670.34,0,mule,mule
ACC00299,individual,1692,South,12.2,5345.56,0,mule,mule
ACC00300,individual,352,Central,10.7,1528.42,0,mule,mule
ACC00301,business,399,Central,9.6,14791.25,0,mule,mule
ACC00302,individual,149,North,13.1,10228.86,0,mule,mule
ACC00303,individual,397,Central,17.4,4784.06,0,mule,mule
ACC00304,business,174,North,15.3,1630.31,0,normal,normal
ACC00305,business,80,West,19.4,12913.96,0,layering_node,layering_node
ACC00306,business,52,Central,14.5,5898.61,0,normal,normal
ACC00307,individual,91,Central,11.9,11169.14,0,normal,normal
ACC00308,individual,623,Central,15.9,669.16,0,mule,mule
ACC00309,individual,279,East,10.2,2244.48,0,normal,normal
ACC00310,shell,99,East,5.5,11076.47,0,mule,mule
ACC00311,business,52,South,11.8,6863.2,0,normal,normal
ACC00312,individual,32,East,12.4,2002.01,0,normal,normal
ACC00313,individual,539,South,4.2,3642.11,0,normal,normal
ACC00314,individual,378,East,10.3,3848.81,0,normal,normal
ACC00315,individual,409,West,10.4,21030.39,0,mule,mule
ACC00316,business,501,South,17.2,5808.93,0,structuring_source,structuring_source
ACC00317,individual,45,East,11.6,4788.37,0,normal,normal
ACC00318,individual,837,West,15.7,4644.78,0,normal,normal
ACC00319,individual,222,East,16.6,6263.8,0,normal,normal
ACC00320,individual,227,North,22.4,4457.25,0,mule,mule
ACC00321,individual,19,North,17.5,2373.37,0,normal,normal
ACC00322,individual,345,West,8.9,18766.37,0,mule,mule
ACC00323,business,68,Central,16.4,6953.34,0,normal,normal
ACC00324,business,354,Central,24.0,4720.49,0,normal,normal
ACC00325,business,263,North,17.5,11281.52,0,mule,mule
ACC00326,individual,332,North,20.2,2202.96,0,normal,normal
ACC00327,individual,331,Central,11.7,6186.56,0,normal,normal
ACC00328,business,467,South,20.1,6751.19,0,mule,mule
ACC00329,business,165,Central,17.9,2081.15,0,normal,normal
ACC00330,business,441,East,10.5,12874.38,0,mule,mule
ACC00331,business,48,South,11.1,4968.66,0,normal,normal
ACC00332,individual,146,East,20.0,2716.57,0,normal,normal
ACC00333,individual,188,North,8.8,1946.6,0,normal,normal
ACC00334,individual,32,South,20.2,9965.38,0,normal,normal
ACC00335,individual,196,East,16.9,3915.19,0,mule,mule
ACC00336,individual,205,East,5.1,1553.43,1,mule,mule
ACC00337,individual,238,South,18.9,7293.48,0,normal,normal
ACC00338,business,389,West,15.8,5983.94,0,layering_node,layering_node
ACC00339,individual,795,Central,8.2,4038.09,0,mule,mule
ACC00340,individual,99,East,7.1,2269.89,0,mule,mule
ACC00341,business,242,Central,16.6,1637.05,1,mule,mule
ACC00342,individual,105,Central,7.1,4199.65,0,normal,normal
ACC00343,individual,352,North,12.5,1931.75,0,structuring_source,structuring_source
ACC00344,individual,43,Central,4.0,6689.75,0,normal,normal
ACC00345,shell,208,East,13.1,12770.57,1,mule,mule
ACC00346,individual,310,North,12.6,7189.01,0,layering_node,layering_node;mule
ACC00347,business,656,South,8.5,3090.13,0,mule,mule
ACC00348,individual,168,East,5.8,3025.91,0,mule,mule
ACC00349,business,106,North,10.5,11771.3,0,mule,mule
ACC00350,individual,40,North,7.8,22061.83,0,mule,mule
ACC00351,individual,65,Central,15.2,6566.0,0,mule,mule
ACC00352,individual,40,South,12.2,4434.18,0,mule,mule
ACC00353,individual,247,East,9.2,1883.97,0,layering_node,layering_node;mule
ACC00354,individual,216,East,8.0,15481.2,0,normal,normal
ACC00355,individual,389,Central,14.8,15365.46,0,normal,normal
ACC00356,individual,34,South,9.1,2415.52,0,normal,normal
ACC00357,individual,141,East,12.2,2866.99,0,mule,mule
ACC00358,individual,493,South,13.2,1653.87,0,mule,mule
ACC00359,business,325,East,2.0,6385.85,0,normal,normal
ACC00360,individual,342,Central,20.4,6590.03,0,normal,normal
ACC00361,individual,28,West,14.8,5183.33,0,normal,normal
ACC00362,individual,361,East,12.8,1826.94,0,normal,normal
ACC00363,individual,189,North,8.3,11675.7,0,mule,mule
ACC00364,individual,486,North,6.5,3938.34,0,normal,normal
ACC00365,shell,795,West,18.1,5427.33,0,mule,mule
ACC00366,individual,303,East,13.0,3958.49,0,mule,mule
ACC00367,individual,534,North,15.5,9601.66,0,normal,normal
ACC00368,individual,118,North,8.1,1935.53,0,normal,normal
ACC00369,individual,839,East,2.8,7013.51,0,normal,normal
ACC00370,individual,187,South,13.9,28144.29,0,normal,normal
ACC00371,business,216,East,12.4,4586.06,0,mule,mule
ACC00372,individual,641,South,13.3,6156.04,0,mule,mule
ACC00373,business,119,West,11.1,2895.69,0,normal,normal
ACC00374,individual,366,Central,12.1,4883.5,0,mule,mule
ACC00375,individual,528,West,11.9,8711.82,0,mule,mule
ACC00376,individual,444,Central,12.1,1961.99,0,normal,normal
ACC00377,individual,57,North,9.0,4311.84,0,normal,normal
ACC00378,individual,53,North,12.3,7120.87,0,mule,mule
ACC00379,shell,179,North,12.3,1232.96,0,normal,normal
ACC00380,individual,43,South,6.0,7479.72,1,mule,mule
ACC00381,individual,325,Central,10.9,13953.82,0,normal,normal
ACC00382,individual,1591,North,12.7,3881.74,0,mule,mule
ACC00383,shell,92,East,8.9,3976.95,0,normal,normal
ACC00384,individual,29,Central,12.8,4925.26,0,layering_node,layering_node;mule
ACC00385,business,296,Central,16.7,1738.14,0,normal,normal
ACC00386,individual,176,South,5.2,4199.26,0,normal,normal
ACC00387,individual,170,West,14.7,8361.63,0,normal,normal
ACC00388,business,13,South,9.1,801.33,0,normal,normal
ACC00389,individual,100,North,9.3,6465.68,0,mule,mule
ACC00390,individual,82,East,11.9,7372.44,0,normal,normal
ACC00391,individual,248,East,18.0,4398.55,0,layering_node,layering_node
ACC00392,individual,210,North,9.8,2645.56,0,mule,mule
ACC00393,business,203,East,5.1,1588.44,0,layering_node,layering_node
ACC00394,individual,471,South,8.7,10177.49,0,mule,mule
ACC00395,individual,182,South,15.4,3492.81,0,layering_node,layering_node;mule
ACC00396,individual,706,North,22.8,3216.34,0,normal,normal
ACC00397,individual,686,East,18.5,14662.64,0,normal,normal
ACC00398,individual,229,Central,14.3,3058.25,0,mule,mule
ACC00399,individual,352,West,10.2,5593.03,0,normal,normal
ACC00400,individual,13,Central,5.3,2489.58,0,normal,normal
ACC00401,individual,457,South,6.8,7155.65,0,normal,normal
ACC00402,individual,41,South,17.9,8129.6,0,normal,normal
ACC00403,individual,16,South,17.0,2893.56,0,normal,normal
ACC00404,individual,154,South,10.4,4123.33,0,mule,mule
ACC00405,individual,457,West,14.3,22370.57,0,mule,mule
ACC00406,individual,1047,North,8.8,9409.62,0,normal,normal
ACC00407,shell,286,South,19.6,7012.75,0,normal,normal
ACC00408,business,330,East,10.2,2731.36,0,mule,mule
ACC00409,business,86,West,6.8,1240.85,0,normal,normal
ACC00410,individual,294,South,10.9,4049.02,0,normal,normal
ACC00411,business,321,East,16.3,3267.71,0,normal,normal
ACC00412,business,572,South,11.2,5989.76,0,normal,normal
ACC00413,business,195,North,14.5,8220.73,0,mule,mule
ACC00414,business,330,West,12.9,1982.71,0,normal,normal
ACC00415,shell,841,North,14.0,3115.2,0,mule,mule
ACC00416,business,82,West,18.2,4988.5,0,mule,mule
ACC00417,business,244,South,13.2,30369.02,0,normal,normal
ACC00418,individual,259,South,15.8,6417.67,0,mule,mule
ACC00419,individual,439,West,11.3,2085.97,0,mule,mule
ACC00420,individual,94,East,11.0,2709.82,0,normal,normal
ACC00421,business,78,East,20.3,6478.67,0,mule,mule
ACC00422,individual,72,South,18.0,3207.19,0,mule,mule
ACC00423,individual,11,South,8.1,7737.21,0,structuring_source,structuring_source
ACC00424,shell,147,North,7.6,3618.37,0,mule,mule
ACC00425,individual,637,South,20.6,3715.45,0,mule,mule
ACC00426,business,279,West,4.9,1432.87,0,normal,normal
ACC00427,individual,10,East,4.4,11894.23,0,normal,normal
ACC00428,business,39,East,9.2,29458.55,0,normal,normal
ACC00429,individual,30,North,19.7,20015.56,0,normal,normal
ACC00430,individual,287,East,17.1,7441.06,0,normal,normal
ACC00431,individual,532,East,7.9,4903.17,0,normal,normal
ACC00432,individual,132,Central,15.5,9592.28,0,mule,mule
ACC00433,business,228,West,6.3,4291.7,0,normal,normal
ACC00434,individual,180,Central,11.6,4513.27,0,mule,mule
ACC00435,individual,409,East,6.9,17995.28,0,mule,mule
ACC00436,individual,472,North,10.9,2510.89,0,mule,mule
ACC00437,business,155,North,21.4,14476.33,0,layering_node,layering_node;mule
ACC00438,individual,144,East,12.7,1425.24,0,mule,mule
ACC00439,individual,857,South,9.7,1609.55,0,mule,mule
ACC00440,business,563,Central,14.6,3385.0,0,normal,normal
ACC00441,individual,207,East,11.9,16993.33,0,normal,normal
ACC00442,individual,402,North,9.0,6823.6,0,normal,normal
ACC00443,individual,53,North,15.8,11601.08,0,mule,mule
ACC00444,shell,31,Central,11.5,4261.72,0,normal,normal
ACC00445,individual,95,West,10.9,6356.01,0,normal,normal
ACC00446,individual,437,East,19.5,4065.18,0,normal,normal
ACC00447,individual,210,East,1.0,9125.53,0,layering_node,layering_node;mule
ACC00448,individual,700,West,12.3,7052.64,0,mule,mule
ACC00449,business,26,Central,4.2,3393.66,0,normal,normal
ACC00450,business,1203,Central,16.0,2042.64,0,normal,normal
ACC00451,individual,259,North,14.3,4793.67,0,normal,normal
ACC00452,individual,139,West,8.3,2787.29,0,normal,normal
ACC00453,business,257,Central,6.9,5131.62,0,layering_node,layering_node;mule
